Date,Close
2023/1/26,93.449997
2023/1/27,93.300003
2023/1/30,93.129997
2023/1/31,92.730003
2023/2/1,94.739998
2023/2/2,96.650002
2023/2/3,94.660004
2023/2/6,91.830002
2023/2/7,94.550003
2023/2/8,94.279999
2023/2/9,96.690002
2023/2/10,95.370003
2023/2/13,96.110001
2023/2/14,97.959999
2023/2/15,92.760002
2023/2/16,90.82
2023/2/17,90.099998
2023/2/21,87.639999
2023/2/22,86.830002
2023/2/23,90.080002
2023/2/24,88.110001
2023/2/27,87.300003
2023/2/28,87.07
2023/3/1,88.419998
2023/3/2,89.029999
2023/3/3,89.790001
2023/3/6,89.580002
2023/3/7,88.849998
2023/3/8,90.830002
2023/3/9,88.879997
2023/3/10,87.25
2023/3/13,87.739998
2023/3/14,89.290001
2023/3/15,86.699997
2023/3/16,89.300003
2023/3/17,89.470001
2023/3/20,90.040001
2023/3/21,92.5
2023/3/22,92.620003
2023/3/23,94.589996
2023/3/24,92.790001
2023/3/27,90.660004
2023/3/28,90.809998
2023/3/29,92.760002
2023/3/30,92.470001
2023/3/31,93.019997
2023/4/3,92.839996
2023/4/4,92.169998
2023/4/5,90.199997
2023/4/6,90.239998
2023/4/10,89.019997
2023/4/11,89.239998
2023/4/12,86.870003
2023/4/13,87.050003
2023/4/14,87.199997
2023/4/17,87.989998
2023/4/18,88.139999
2023/4/19,87.230003
2023/4/20,89.290001
2023/4/21,85.370003
2023/4/24,84.639999
2023/4/25,82.290001
2023/4/26,82.25
2023/4/27,83.669998
2023/4/28,84.300003
2023/5/1,83.980003
2023/5/2,82.959999
2023/5/3,82.699997
2023/5/4,83.489998
2023/5/5,84.970001
2023/5/8,85.540001
2023/5/9,85.059998
2023/5/10,84.900002
2023/5/11,83.43
2023/5/12,83.43
2023/5/15,85.660004
2023/5/16,85.879997
2023/5/17,90.879997
